iteration,loss
0,1.0012571811676025
1,0.9973264336585999
2,0.999456524848938
3,0.9978472590446472
4,0.9937506914138794
5,0.9909082055091858
6,0.9915478825569153
7,0.9892038702964783
8,0.9917528629302979
9,0.9859015345573425
0,0.9992591142654419
1,0.9933965802192688
2,0.9991677403450012
3,0.9952881932258606
4,0.9945021867752075
5,0.9954404830932617
6,0.9912884831428528
7,0.9889926910400391
8,0.9915842413902283
9,0.9887387156486511
0,0.9964146018028259
0,0.9959805011749268
0,0.9951385259628296
0,0.997024416923523
